Start Time  Tuesday January 11 2022 18:29:00,,,,,,,
Bitrate   500 kbit/s,,,,,,,
Operating Mode  Std Ext ErrDet,,,,,,,
Driver Version  4.1.212.0,,,,,,,
Bus,No,Time,State,ID (hex),DLC,Data (hex),ASCII
USB-to-CAN V2 compact  CAN-1,262,00:15.1,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,263,00:15.2,      ,703,1,5,.
USB-to-CAN V2 compact  CAN-1,264,00:15.3,      ,706,1,5,.
USB-to-CAN V2 compact  CAN-1,265,00:15.4,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,266,00:15.6,      ,703,1,5,.
USB-to-CAN V2 compact  CAN-1,267,00:15.7,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,268,00:15.7,      ,704,1,5,.
USB-to-CAN V2 compact  CAN-1,269,00:15.9,      ,705,1,5,.
USB-to-CAN V2 compact  CAN-1,270,00:16.0,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,271,00:16.0,      ,703,1,5,.
USB-to-CAN V2 compact  CAN-1,272,00:16.3,      ,706,1,5,.
USB-to-CAN V2 compact  CAN-1,273,00:16.3,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,274,00:16.5,      ,703,1,5,.
USB-to-CAN V2 compact  CAN-1,275,00:16.6,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,276,00:16.7,      ,704,1,5,.
USB-to-CAN V2 compact  CAN-1,277,00:16.9,      ,705,1,5,.
USB-to-CAN V2 compact  CAN-1,278,00:16.9,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,279,00:16.9,      ,703,1,5,.
USB-to-CAN V2 compact  CAN-1,280,00:17.2,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,281,00:17.3,      ,706,1,5,.
USB-to-CAN V2 compact  CAN-1,282,00:17.3,      ,703,1,5,.
USB-to-CAN V2 compact  CAN-1,283,00:17.5,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,284,00:17.7,      ,704,1,5,.
USB-to-CAN V2 compact  CAN-1,285,00:17.8,      ,703,1,5,.
USB-to-CAN V2 compact  CAN-1,286,00:17.8,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,287,00:17.9,      ,705,1,5,.
USB-to-CAN V2 compact  CAN-1,288,00:18.1,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,289,00:18.2,      ,703,1,5,.
USB-to-CAN V2 compact  CAN-1,290,00:18.3,      ,706,1,5,.
USB-to-CAN V2 compact  CAN-1,291,00:18.4,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,292,00:18.7,      ,703,1,5,.
USB-to-CAN V2 compact  CAN-1,293,00:18.7,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,294,00:18.7,      ,704,1,5,.
USB-to-CAN V2 compact  CAN-1,295,00:18.9,      ,705,1,5,.
USB-to-CAN V2 compact  CAN-1,296,00:19.0,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,297,00:19.1,      ,703,1,5,.
USB-to-CAN V2 compact  CAN-1,298,00:19.3,      ,706,1,5,.
USB-to-CAN V2 compact  CAN-1,299,00:19.3,      ,182,4,00 F6 00 00,....
USB-to-CAN V2 compact  CAN-1,300,00:19.3,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,301,00:19.5,      ,182,4,00 A5 00 00,....
USB-to-CAN V2 compact  CAN-1,302,00:19.5,      ,605,8,2F 60 60 00 01 00 00 00,/``.....
USB-to-CAN V2 compact  CAN-1,303,00:19.5,      ,585,8,60 60 60 00 00 00 00 00,```.....
USB-to-CAN V2 compact  CAN-1,304,00:19.5,      ,205,2,2F 00,/.
USB-to-CAN V2 compact  CAN-1,305,00:19.5,      ,185,6,33 07 15 A8 FF FF,3.....
USB-to-CAN V2 compact  CAN-1,306,00:19.5,      ,703,1,5,.
USB-to-CAN V2 compact  CAN-1,307,00:19.6,      ,185,6,33 86 15 A8 FF FF,3.....
USB-to-CAN V2 compact  CAN-1,308,00:19.6,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,309,00:19.6,      ,185,6,37 86 15 A8 FF FF,7.....
USB-to-CAN V2 compact  CAN-1,310,00:19.6,      ,405,8,00 00 00 00 00 00 02 00,........
USB-to-CAN V2 compact  CAN-1,311,00:19.7,      ,185,6,37 86 16 A8 FF FF,7.....
USB-to-CAN V2 compact  CAN-1,312,00:19.7,      ,182,4,00 9C 00 00,....
USB-to-CAN V2 compact  CAN-1,313,00:19.7,      ,704,1,5,.
USB-to-CAN V2 compact  CAN-1,314,00:19.8,      ,205,2,3F 00,?.
USB-to-CAN V2 compact  CAN-1,315,00:19.8,      ,185,6,37 92 16 A8 FF FF,7.....
USB-to-CAN V2 compact  CAN-1,316,00:19.8,      ,602,8,2B 02 20 10 00 01 00 00,+. .....
USB-to-CAN V2 compact  CAN-1,317,00:19.8,      ,205,2,2F 00,/.
USB-to-CAN V2 compact  CAN-1,318,00:19.8,      ,305,8,2C 52 FF FF 99 59 0D 00,",R...Y.."
USB-to-CAN V2 compact  CAN-1,319,00:19.8,      ,582,8,60 02 20 10 00 00 00 00,`. .....
USB-to-CAN V2 compact  CAN-1,320,00:19.8,      ,185,6,37 82 12 A8 FF FF,7.....
USB-to-CAN V2 compact  CAN-1,321,00:19.8,      ,602,8,2B 03 20 0E 01 00 00 00,+. .....
USB-to-CAN V2 compact  CAN-1,322,00:19.8,      ,582,8,60 03 20 0E 00 00 00 00,`. .....
USB-to-CAN V2 compact  CAN-1,323,00:19.8,      ,205,2,3F 00,?.
USB-to-CAN V2 compact  CAN-1,324,00:19.8,      ,185,6,37 92 0E A8 FF FF,7.....
USB-to-CAN V2 compact  CAN-1,325,00:19.9,      ,185,6,37 92 06 A8 FF FF,7.....
USB-to-CAN V2 compact  CAN-1,326,00:19.9,      ,705,1,5,.
USB-to-CAN V2 compact  CAN-1,327,00:19.9,      ,185,6,37 92 E8 A7 FF FF,7.....
USB-to-CAN V2 compact  CAN-1,328,00:19.9,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,329,00:19.9,      ,185,6,37 92 B0 A7 FF FF,7.....
USB-to-CAN V2 compact  CAN-1,330,00:19.9,      ,185,6,37 92 62 A7 FF FF,7.b...
USB-to-CAN V2 compact  CAN-1,331,00:20.0,      ,703,1,5,.
USB-to-CAN V2 compact  CAN-1,332,00:20.0,      ,185,6,37 92 05 A7 FF FF,7.....
